Run,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Experiment,Instrument,Library Name,Platform,ReleaseDate,Sample Name,Sample_type,SRA Study,Strain,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolation_source,HOST,Isolate,Note
SRR6669922,PRJNA432884,SAMN08465197,"Microbe\, viral or environmental",679473061,INSTITUT PASTEUR,Jan-05,public,SRX3646648,Illumina HiSeq 2000,CEC3601,ILLUMINA,2018-06-05T00:00:00Z,CEC3601,cell culture,SRP132163,CEC3601,Belgium,Europe,Belgium,Mouth,Homo sapiens,C78,
SRR6669923,PRJNA432884,SAMN08465200,"Microbe\, viral or environmental",544379647,INSTITUT PASTEUR,Jan-09,public,SRX3646647,Illumina HiSeq 2000,CEC3605,ILLUMINA,2018-06-05T00:00:00Z,CEC3605,cell culture,SRP132163,CEC3605,Morocco,Africa,Morocco,Vagina,Homo sapiens,M42,
SRR6669925,PRJNA432884,SAMN08465248,"Microbe\, viral or environmental",669610791,INSTITUT PASTEUR,Jan-02,public,SRX3646645,Illumina HiSeq 2000,CEC3707,ILLUMINA,2018-06-05T00:00:00Z,CEC3707,cell culture,SRP132163,CEC3707,France,Europe,France: Paris,urine,Homo sapiens,EGPURRM15,
SRR6669929,PRJNA432884,SAMN08465266,"Microbe\, viral or environmental",510062746,INSTITUT PASTEUR,Oct-14,public,SRX3646641,Illumina HiSeq 2000,CEC4259,ILLUMINA,2018-06-05T00:00:00Z,CEC4259,cell culture,SRP132163,CEC4259,France,Europe,France: Grenoble,skin,Homo sapiens,MAC1,
SRR6669930,PRJNA432884,SAMN08465263,"Microbe\, viral or environmental",508879441,INSTITUT PASTEUR,Jan-11,public,SRX3646640,Illumina HiSeq 2000,CEC4108,ILLUMINA,2018-06-05T00:00:00Z,CEC4108,cell culture,SRP132163,CEC4108,Senegal,Africa,Senegal,Vagina,Homo sapiens,CAAL136,
SRR6669935,PRJNA432884,SAMN08465270,"Microbe\, viral or environmental",836852322,INSTITUT PASTEUR,Jan-13,public,SRX3646635,Illumina HiSeq 2000,CEC4481,ILLUMINA,2018-06-05T00:00:00Z,CEC4481,cell culture,SRP132163,CEC4481,France,Europe,France,Food spoilage,,,
SRR6669941,PRJNA432884,SAMN08465208,"Microbe\, viral or environmental",933320706,INSTITUT PASTEUR,Jan-09,public,SRX3646629,Illumina HiSeq 2000,CEC3615,ILLUMINA,2018-06-05T00:00:00Z,CEC3615,cell culture,SRP132163,CEC3615,Morocco,Africa,Morocco,Vagina,Homo sapiens,M46,
SRR6669946,PRJNA432884,SAMN08465249,"Microbe\, viral or environmental",1238209712,INSTITUT PASTEUR,Jan-02,public,SRX3646624,Illumina HiSeq 2000,CEC3708,ILLUMINA,2018-06-05T00:00:00Z,CEC3708,cell culture,SRP132163,CEC3708,France,Europe,France: Paris,urine,Homo sapiens,EGPURRM17,
SRR6669964,PRJNA432884,SAMN08465176,"Microbe\, viral or environmental",746590072,INSTITUT PASTEUR,Jan-02,public,SRX3646606,Illumina HiSeq 2000,CEC3540,ILLUMINA,2018-06-05T00:00:00Z,CEC3540,cell culture,SRP132163,CEC3540,France,Europe,France: Strasbourg,blood,Homo sapiens,Bougn11,
SRR6669965,PRJNA432884,SAMN08465175,"Microbe\, viral or environmental",684550633,INSTITUT PASTEUR,Jan-09,public,SRX3646605,Illumina HiSeq 2000,CEC3537,ILLUMINA,2018-06-05T00:00:00Z,CEC3537,cell culture,SRP132163,CEC3537,Morocco,Africa,Morocco,Vagina,Homo sapiens,M26,
SRR6669981,PRJNA432884,SAMN08465329,"Microbe\, viral or environmental",684746800,INSTITUT PASTEUR,Sep-06,public,SRX3646589,Illumina HiSeq 2000,CEC712,ILLUMINA,2018-06-05T00:00:00Z,CEC712,cell culture,SRP132163,CEC712,France,Europe,France,Mouth,Homo sapiens,ARS,
SRR6669982,PRJNA432884,SAMN08465330,"Microbe\, viral or environmental",722638223,INSTITUT PASTEUR,Sep-06,public,SRX3646588,Illumina HiSeq 2000,CEC716,ILLUMINA,2018-06-05T00:00:00Z,CEC716,cell culture,SRP132163,CEC716,France,Europe,France,Mouth,Homo sapiens,BON,
SRR6669990,PRJNA432884,SAMN08465187,"Microbe\, viral or environmental",618148934,INSTITUT PASTEUR,Jan-09,public,SRX3646580,Illumina HiSeq 2000,CEC3556,ILLUMINA,2018-06-05T00:00:00Z,CEC3556,cell culture,SRP132163,CEC3556,Morocco,Africa,Morocco,Vagina,Homo sapiens,M45,
SRR6669993,PRJNA432884,SAMN08465190,"Microbe\, viral or environmental",653051443,INSTITUT PASTEUR,Jan-02,public,SRX3646577,Illumina HiSeq 2000,CEC3559,ILLUMINA,2018-06-05T00:00:00Z,CEC3559,cell culture,SRP132163,CEC3559,France,Europe,France: Paris,urine,Homo sapiens,BCHUR16,
SRR6669995,PRJNA432884,SAMN08465319,"Microbe\, viral or environmental",970676948,INSTITUT PASTEUR,Jan-12,public,SRX3646575,Illumina HiSeq 2500,CEC5025,ILLUMINA,2018-06-05T00:00:00Z,CEC5025,cell culture,SRP132163,CEC5025,United Kingdom,Europe,United Kingdom: Bangor,Vagina,Homo sapiens,NCPF8951,
SRR6669996,PRJNA432884,SAMN08465318,"Microbe\, viral or environmental",967661776,INSTITUT PASTEUR,Jan-12,public,SRX3646574,Illumina HiSeq 2500,CEC5024,ILLUMINA,2018-06-05T00:00:00Z,CEC5024,cell culture,SRP132163,CEC5024,United Kingdom,Europe,United Kingdom: Crewe,Vagina,Homo sapiens,NCPF8950,
SRR6670001,PRJNA432884,SAMN08465313,"Microbe\, viral or environmental",705352956,INSTITUT PASTEUR,Jan-12,public,SRX3646569,Illumina HiSeq 2500,CEC5019,ILLUMINA,2018-06-05T00:00:00Z,CEC5019,cell culture,SRP132163,CEC5019,United Kingdom,Europe,United Kingdom: Wrexham,Vagina,Homo sapiens,NCPF8945,
SRR6670006,PRJNA432884,SAMN08465155,"Microbe\, viral or environmental",716404707,INSTITUT PASTEUR,Jan-02,public,SRX3646564,Illumina HiSeq 2000,CEC1427,ILLUMINA,2018-06-05T00:00:00Z,CEC1427,cell culture,SRP132163,CEC1427,France,Europe,France: Lyon,blood,Homo sapiens,Bougn08,
SRR6670008,PRJNA432884,SAMN08465153,"Microbe\, viral or environmental",835020782,INSTITUT PASTEUR,Jan-07,public,SRX3646562,Illumina HiSeq 2000,CEC1424,ILLUMINA,2018-06-05T00:00:00Z,CEC1424,cell culture,SRP132163,CEC1424,Niger,Africa,Niger,Mouth,Homo sapiens,Niger12,
SRR6670009,PRJNA432884,SAMN08465154,"Microbe\, viral or environmental",670399424,INSTITUT PASTEUR,Jan-02,public,SRX3646561,Illumina HiSeq 2000,CEC1426,ILLUMINA,2018-06-05T00:00:00Z,CEC1426,cell culture,SRP132163,CEC1426,France,Europe,France: Paris,urine,Homo sapiens,EGPURM1,
SRR6670010,PRJNA432884,SAMN08465151,"Microbe\, viral or environmental",1372167738,INSTITUT PASTEUR,Jan-84,public,SRX3646560,Illumina HiSeq 2000,SC5314,ILLUMINA,2018-06-05T00:00:00Z,SC5314,cell culture,SRP132163,SC5314,USA,North America,USA,Disseminated candidiasis,Homo sapiens,,
SRR6670011,PRJNA432884,SAMN08465152,"Microbe\, viral or environmental",407544007,INSTITUT PASTEUR,Jan-02,public,SRX3646559,Illumina HiSeq 2000,CEC1289,ILLUMINA,2018-06-05T00:00:00Z,CEC1289,cell culture,SRP132163,CEC1289,France,Europe,France: Paris,blood,Homo sapiens,Bougn10,
SRR6670015,PRJNA432884,SAMN08465235,"Microbe\, viral or environmental",916775063,INSTITUT PASTEUR,Jan-02,public,SRX3646555,Illumina HiSeq 2000,CEC3674,ILLUMINA,2018-06-05T00:00:00Z,CEC3674,cell culture,SRP132163,CEC3674,France,Europe,France: Paris,urine,Homo sapiens,SLSURRM15,
SRR6670018,PRJNA432884,SAMN08465232,"Microbe\, viral or environmental",620044471,INSTITUT PASTEUR,Jan-02,public,SRX3646552,Illumina HiSeq 2000,CEC3671,ILLUMINA,2018-06-05T00:00:00Z,CEC3671,cell culture,SRP132163,CEC3671,France,Europe,France: Paris,blood,Homo sapiens,TNMHCRC3,
SRR6670023,PRJNA432884,SAMN08465304,"Microbe\, viral or environmental",1509557851,INSTITUT PASTEUR,Jan-14,public,SRX3646547,Illumina HiSeq 2500,CEC4884,ILLUMINA,2018-06-05T00:00:00Z,CEC4884,cell culture,SRP132163,CEC4884,China,Asia,China,Vagina,Homo sapiens,5006,
SRR6670028,PRJNA432884,SAMN08465305,"Microbe\, viral or environmental",1095703552,INSTITUT PASTEUR,Jan-14,public,SRX3646542,Illumina HiSeq 2500,CEC4886,ILLUMINA,2018-06-05T00:00:00Z,CEC4886,cell culture,SRP132163,CEC4886,China,Asia,China,Vagina,Homo sapiens,E025,
SRR6669850,PRJNA432884,SAMN08465170,"Microbe\, viral or environmental",675314743,INSTITUT PASTEUR,Jan-10,public,SRX3646720,Illumina HiSeq 2000,CEC3532,ILLUMINA,2018-06-05T00:00:00Z,CEC3532,cell culture,SRP132163,CEC3532,France,Europe,France: Palaiseau,Mouth,Homo sapiens,E1_X,
SRR6669851,PRJNA432884,SAMN08465167,"Microbe\, viral or environmental",690596738,INSTITUT PASTEUR,Jan-10,public,SRX3646719,Illumina HiSeq 2000,CEC3529,ILLUMINA,2018-06-05T00:00:00Z,CEC3529,cell culture,SRP132163,CEC3529,France,Europe,France: Palaiseau,Mouth,Homo sapiens,B1_X,
SRR6669852,PRJNA432884,SAMN08465168,"Microbe\, viral or environmental",595028343,INSTITUT PASTEUR,Jan-10,public,SRX3646718,Illumina HiSeq 2000,CEC3530,ILLUMINA,2018-06-05T00:00:00Z,CEC3530,cell culture,SRP132163,CEC3530,France,Europe,France: Palaiseau,Mouth,Homo sapiens,C1_X,
SRR6669853,PRJNA432884,SAMN08465165,"Microbe\, viral or environmental",555409085,INSTITUT PASTEUR,Jan-07,public,SRX3646717,Illumina HiSeq 2000,CEC2876,ILLUMINA,2018-06-05T00:00:00Z,CEC2876,cell culture,SRP132163,CEC2876,South Korea,Asia,South Korea,blood,Homo sapiens,A41,
SRR6669854,PRJNA432884,SAMN08465166,"Microbe\, viral or environmental",437657819,INSTITUT PASTEUR,Jan-05,public,SRX3646716,Illumina HiSeq 2000,CEC3494,ILLUMINA,2018-06-05T00:00:00Z,CEC3494,cell culture,SRP132163,CEC3494,Belgium,Europe,Belgium,feces,Homo sapiens,C63,
SRR6669855,PRJNA432884,SAMN08465163,"Microbe\, viral or environmental",627667773,INSTITUT PASTEUR,Jan-07,public,SRX3646715,Illumina HiSeq 2000,CEC2871,ILLUMINA,2018-06-05T00:00:00Z,CEC2871,cell culture,SRP132163,CEC2871,South Korea,Asia,South Korea,blood,Homo sapiens,H4,
SRR6669860,PRJNA432884,SAMN08465299,"Microbe\, viral or environmental",980437587,INSTITUT PASTEUR,Jan-14,public,SRX3646710,Illumina HiSeq 2500,CEC4878,ILLUMINA,2018-06-05T00:00:00Z,CEC4878,cell culture,SRP132163,CEC4878,China,Asia,China,Vagina,Homo sapiens,8866,
SRR6669863,PRJNA432884,SAMN08465243,"Microbe\, viral or environmental",677807803,INSTITUT PASTEUR,Jan-02,public,SRX3646707,Illumina HiSeq 2000,CEC3683,ILLUMINA,2018-06-05T00:00:00Z,CEC3683,cell culture,SRP132163,CEC3683,France,Europe,France: Paris,blood,Homo sapiens,EGPHCRM4,
SRR6669865,PRJNA432884,SAMN08465241,"Microbe\, viral or environmental",751571903,INSTITUT PASTEUR,Jan-02,public,SRX3646705,Illumina HiSeq 2000,CEC3681,ILLUMINA,2018-06-05T00:00:00Z,CEC3681,cell culture,SRP132163,CEC3681,France,Europe,France: Paris,blood,Homo sapiens,EGPHCRC4,
SRR6669869,PRJNA432884,SAMN08465294,"Microbe\, viral or environmental",1082164801,INSTITUT PASTEUR,Jan-14,public,SRX3646701,Illumina HiSeq 2500,CEC4860,ILLUMINA,2018-06-05T00:00:00Z,CEC4860,cell culture,SRP132163,CEC4860,China,Asia,China,Vagina,Homo sapiens,2264,
SRR6669870,PRJNA432884,SAMN08465293,"Microbe\, viral or environmental",1076497965,INSTITUT PASTEUR,Jan-93,public,SRX3646700,Illumina HiSeq 2500,CEC4859,ILLUMINA,2018-06-05T00:00:00Z,CEC4859,cell culture,SRP132163,CEC4859,Madagascar,Africa,Madagascar,Vagina,Homo sapiens,M8684/93,
SRR6669871,PRJNA432884,SAMN08465296,"Microbe\, viral or environmental",974734341,INSTITUT PASTEUR,Jan-14,public,SRX3646699,Illumina HiSeq 2500,CEC4864,ILLUMINA,2018-06-05T00:00:00Z,CEC4864,cell culture,SRP132163,CEC4864,China,Asia,China,Gland penis,Homo sapiens,XH455,
SRR6669874,PRJNA432884,SAMN08465297,"Microbe\, viral or environmental",1039987120,INSTITUT PASTEUR,Jan-14,public,SRX3646696,Illumina HiSeq 2500,CEC4865,ILLUMINA,2018-06-05T00:00:00Z,CEC4865,cell culture,SRP132163,CEC4865,China,Asia,China,Gland penis,Homo sapiens,XH644,
SRR6669876,PRJNA432884,SAMN08465219,"Microbe\, viral or environmental",1303783727,INSTITUT PASTEUR,Jan-09,public,SRX3646694,Illumina HiSeq 2000,CEC3636,ILLUMINA,2018-06-05T00:00:00Z,CEC3636,cell culture,SRP132163,CEC3636,Morocco,Africa,Morocco,Vagina,Homo sapiens,M57,
SRR6669884,PRJNA432884,SAMN08465215,"Microbe\, viral or environmental",1142933040,INSTITUT PASTEUR,Jan-09,public,SRX3646686,Illumina HiSeq 2000,CEC3623,ILLUMINA,2018-06-05T00:00:00Z,CEC3623,cell culture,SRP132163,CEC3623,Morocco,Africa,Morocco,Vagina,Homo sapiens,M17,
SRR6669885,PRJNA432884,SAMN08465289,"Microbe\, viral or environmental",930270051,INSTITUT PASTEUR,Jan-09,public,SRX3646685,Illumina HiSeq 2500,CEC4855,ILLUMINA,2018-06-05T00:00:00Z,CEC4855,cell culture,SRP132163,CEC4855,Italy,Europe,Italy,Vagina,Homo sapiens,DELF29,
SRR6669889,PRJNA432884,SAMN08465287,"Microbe\, viral or environmental",1269388143,INSTITUT PASTEUR,Sep-13,public,SRX3646681,Illumina HiSeq 2000,CEC4525,ILLUMINA,2018-06-05T00:00:00Z,CEC4525,cell culture,SRP132163,CEC4525,France,Europe,France,Mouth,Homo sapiens,FLON07,
SRR6669890,PRJNA432884,SAMN08465288,"Microbe\, viral or environmental",866830505,INSTITUT PASTEUR,Jan-08,public,SRX3646680,Illumina HiSeq 2500,CEC4854,ILLUMINA,2018-06-05T00:00:00Z,CEC4854,cell culture,SRP132163,CEC4854,Italy,Europe,Italy: Messina,Vagina,Homo sapiens,,CBS11016
SRR6669891,PRJNA432884,SAMN08465281,"Microbe\, viral or environmental",1083657889,INSTITUT PASTEUR,Jan-14,public,SRX3646679,Illumina HiSeq 2000,CEC4495,ILLUMINA,2018-06-05T00:00:00Z,CEC4495,cell culture,SRP132163,CEC4495,France,Europe,France,Food spoilage,,,
SRR6669894,PRJNA432884,SAMN08465284,"Microbe\, viral or environmental",1050174869,INSTITUT PASTEUR,Jan-14,public,SRX3646676,Illumina HiSeq 2000,CEC4498,ILLUMINA,2018-06-05T00:00:00Z,CEC4498,cell culture,SRP132163,CEC4498,France,Europe,France,Food spoilage,,,
SRR6669907,PRJNA432884,SAMN08465274,"Microbe\, viral or environmental",1039434625,INSTITUT PASTEUR,Jan-13,public,SRX3646663,Illumina HiSeq 2000,CEC4486,ILLUMINA,2018-06-05T00:00:00Z,CEC4486,cell culture,SRP132163,CEC4486,France,Europe,France,Food spoilage,,,
SRR6669911,PRJNA432884,SAMN08465278,"Microbe\, viral or environmental",855977686,INSTITUT PASTEUR,Jan-14,public,SRX3646659,Illumina HiSeq 2000,CEC4492,ILLUMINA,2018-06-05T00:00:00Z,CEC4492,cell culture,SRP132163,CEC4492,France,Europe,France,Food spoilage,,,
SRR6669913,PRJNA432884,SAMN08465276,"Microbe\, viral or environmental",947253708,INSTITUT PASTEUR,Jan-13,public,SRX3646657,Illumina HiSeq 2000,CEC4488,ILLUMINA,2018-06-05T00:00:00Z,CEC4488,cell culture,SRP132163,CEC4488,France,Europe,France,Food spoilage,,,
SRR6669914,PRJNA432884,SAMN08465275,"Microbe\, viral or environmental",1107986335,INSTITUT PASTEUR,Jan-13,public,SRX3646656,Illumina HiSeq 2000,CEC4487,ILLUMINA,2018-06-05T00:00:00Z,CEC4487,cell culture,SRP132163,CEC4487,France,Europe,France,Food spoilage,,,
SRR6669920,PRJNA432884,SAMN08465195,"Microbe\, viral or environmental",944207091,INSTITUT PASTEUR,Jan-02,public,SRX3646650,Illumina HiSeq 2000,CEC3597,ILLUMINA,2018-06-05T00:00:00Z,CEC3597,cell culture,SRP132163,CEC3597,France,Europe,France: Lyon,blood,Homo sapiens,Bougn15,
SRR6669924,PRJNA432884,SAMN08465199,"Microbe\, viral or environmental",550674090,INSTITUT PASTEUR,Jan-09,public,SRX3646646,Illumina HiSeq 2000,CEC3603,ILLUMINA,2018-06-05T00:00:00Z,CEC3603,cell culture,SRP132163,CEC3603,Morocco,Africa,Morocco,Vagina,Homo sapiens,M44,
SRR6669932,PRJNA432884,SAMN08465261,"Microbe\, viral or environmental",929073556,INSTITUT PASTEUR,Jan-11,public,SRX3646638,Illumina HiSeq 2000,CEC4106,ILLUMINA,2018-06-05T00:00:00Z,CEC4106,cell culture,SRP132163,CEC4106,Senegal,Africa,Senegal,Vagina,Homo sapiens,CAAL134,
SRR6669938,PRJNA432884,SAMN08465201,"Microbe\, viral or environmental",744203652,INSTITUT PASTEUR,Jan-09,public,SRX3646632,Illumina HiSeq 2000,CEC3607,ILLUMINA,2018-06-05T00:00:00Z,CEC3607,cell culture,SRP132163,CEC3607,Morocco,Africa,Morocco,Vagina,Homo sapiens,M3,
SRR6669940,PRJNA432884,SAMN08465207,"Microbe\, viral or environmental",755392607,INSTITUT PASTEUR,Jan-09,public,SRX3646630,Illumina HiSeq 2000,CEC3614,ILLUMINA,2018-06-05T00:00:00Z,CEC3614,cell culture,SRP132163,CEC3614,Morocco,Africa,Morocco,Vagina,Homo sapiens,M7,
SRR6669945,PRJNA432884,SAMN08465210,"Microbe\, viral or environmental",694205149,INSTITUT PASTEUR,Jan-09,public,SRX3646625,Illumina HiSeq 2000,CEC3617,ILLUMINA,2018-06-05T00:00:00Z,CEC3617,cell culture,SRP132163,CEC3617,Morocco,Africa,Morocco,Vagina,Homo sapiens,M40,
SRR6669951,PRJNA432884,SAMN08465256,"Microbe\, viral or environmental",1559093476,INSTITUT PASTEUR,2012-04-10,public,SRX3646619,Illumina HiSeq 2000,CEC4035,ILLUMINA,2018-06-05T00:00:00Z,CEC4035,cell culture,SRP132163,CEC4035,United Kingdom,Europe,United Kingdom: Birmingham,Burn,Homo sapiens,316,
SRR6669952,PRJNA432884,SAMN08465255,"Microbe\, viral or environmental",662141521,INSTITUT PASTEUR,2012-03-13,public,SRX3646618,Illumina HiSeq 2000,CEC4032,ILLUMINA,2018-06-05T00:00:00Z,CEC4032,cell culture,SRP132163,CEC4032,United Kingdom,Europe,United Kingdom: Birmingham,sputum,Homo sapiens,313,
SRR6669953,PRJNA432884,SAMN08465258,"Microbe\, viral or environmental",869881679,INSTITUT PASTEUR,2012-04-30,public,SRX3646617,Illumina HiSeq 2000,CEC4039,ILLUMINA,2018-06-05T00:00:00Z,CEC4039,cell culture,SRP132163,CEC4039,United Kingdom,Europe,United Kingdom: Birmingham,sputum,Homo sapiens,322,
SRR6669955,PRJNA432884,SAMN08465252,"Microbe\, viral or environmental",1016741877,INSTITUT PASTEUR,Jan-02,public,SRX3646615,Illumina HiSeq 2000,CEC3715,ILLUMINA,2018-06-05T00:00:00Z,CEC3715,cell culture,SRP132163,CEC3715,France,Europe,France: Paris,urine,Homo sapiens,SATURRM6,
SRR6669957,PRJNA432884,SAMN08465254,"Microbe\, viral or environmental",990422731,INSTITUT PASTEUR,Jan-07,public,SRX3646613,Illumina HiSeq 2000,CEC3786,ILLUMINA,2018-06-05T00:00:00Z,CEC3786,cell culture,SRP132163,CEC3786,South Korea,Asia,South Korea,blood,Homo sapiens,E9,
SRR6669959,PRJNA432884,SAMN08465247,"Microbe\, viral or environmental",725828168,INSTITUT PASTEUR,Jan-02,public,SRX3646611,Illumina HiSeq 2000,CEC3706,ILLUMINA,2018-06-05T00:00:00Z,CEC3706,cell culture,SRP132163,CEC3706,France,Europe,France: Paris,urine,Homo sapiens,EGPURRM13,
SRR6669966,PRJNA432884,SAMN08465174,"Microbe\, viral or environmental",424268652,INSTITUT PASTEUR,Jan-09,public,SRX3646604,Illumina HiSeq 2000,CEC3536,ILLUMINA,2018-06-05T00:00:00Z,CEC3536,cell culture,SRP132163,CEC3536,Morocco,Africa,Morocco,Vagina,Homo sapiens,M23,
SRR6669967,PRJNA432884,SAMN08465173,"Microbe\, viral or environmental",527169996,INSTITUT PASTEUR,Jan-09,public,SRX3646603,Illumina HiSeq 2000,CEC3535,ILLUMINA,2018-06-05T00:00:00Z,CEC3535,cell culture,SRP132163,CEC3535,Morocco,Africa,Morocco,Vagina,Homo sapiens,M22,
SRR6669968,PRJNA432884,SAMN08465172,"Microbe\, viral or environmental",575834110,INSTITUT PASTEUR,Jan-09,public,SRX3646602,Illumina HiSeq 2000,CEC3534,ILLUMINA,2018-06-05T00:00:00Z,CEC3534,cell culture,SRP132163,CEC3534,Morocco,Africa,Morocco,Vagina,Homo sapiens,M20,
SRR6669969,PRJNA432884,SAMN08465171,"Microbe\, viral or environmental",540533397,INSTITUT PASTEUR,Jan-10,public,SRX3646601,Illumina HiSeq 2000,CEC3533,ILLUMINA,2018-06-05T00:00:00Z,CEC3533,cell culture,SRP132163,CEC3533,France,Europe,France: Palaiseau,Mouth,Homo sapiens,F1_X,
SRR6669972,PRJNA432884,SAMN08465179,"Microbe\, viral or environmental",792569359,INSTITUT PASTEUR,Jan-05,public,SRX3646598,Illumina HiSeq 2000,CEC3547,ILLUMINA,2018-06-05T00:00:00Z,CEC3547,cell culture,SRP132163,CEC3547,Belgium,Europe,Belgium,Mouth,Homo sapiens,C74,
SRR6669975,PRJNA432884,SAMN08465323,"Microbe\, viral or environmental",1566313589,INSTITUT PASTEUR,Jan-12,public,SRX3646595,Illumina HiSeq 2500,CEC5029,ILLUMINA,2018-06-05T00:00:00Z,CEC5029,cell culture,SRP132163,CEC5029,United Kingdom,Europe,United Kingdom: Stoke,Vagina,Homo sapiens,NCPF8955,
SRR6669976,PRJNA432884,SAMN08465324,"Microbe\, viral or environmental",1488066565,INSTITUT PASTEUR,Jan-12,public,SRX3646594,Illumina HiSeq 2500,CEC5030,ILLUMINA,2018-06-05T00:00:00Z,CEC5030,cell culture,SRP132163,CEC5030,United Kingdom,Europe,United Kingdom: Bristol,Vagina,Homo sapiens,NCPF8957,
SRR6669978,PRJNA432884,SAMN08465326,"Microbe\, viral or environmental",712964204,INSTITUT PASTEUR,Sep-06,public,SRX3646592,Illumina HiSeq 2000,CEC708,ILLUMINA,2018-06-05T00:00:00Z,CEC708,cell culture,SRP132163,CEC708,France,Europe,France,Mouth,Homo sapiens,GOL,
SRR6669979,PRJNA432884,SAMN08465327,"Microbe\, viral or environmental",805451712,INSTITUT PASTEUR,Sep-06,public,SRX3646591,Illumina HiSeq 2000,CEC709,ILLUMINA,2018-06-05T00:00:00Z,CEC709,cell culture,SRP132163,CEC709,France,Europe,France,Mouth,Homo sapiens,BOU,
SRR6669980,PRJNA432884,SAMN08465328,"Microbe\, viral or environmental",500580671,INSTITUT PASTEUR,Sep-06,public,SRX3646590,Illumina HiSeq 2000,CEC711,ILLUMINA,2018-06-05T00:00:00Z,CEC711,cell culture,SRP132163,CEC711,France,Europe,France,Mouth,Homo sapiens,TAH,
SRR6669984,PRJNA432884,SAMN08465181,"Microbe\, viral or environmental",754169287,INSTITUT PASTEUR,Jan-05,public,SRX3646586,Illumina HiSeq 2000,CEC3549,ILLUMINA,2018-06-05T00:00:00Z,CEC3549,cell culture,SRP132163,CEC3549,Belgium,Europe,Belgium,Gastro-intestinal tract,Homo sapiens,C82,
