"Sample1","Sample2","Pairwise_SNP_diff","S1","S2","Compare"
"TVY4R12","TVY4V1",642,"R","V","R-V"
"TVY4R13","TVY4V1",589,"R","V","R-V"
"TVY4R14","TVY4V1",578,"R","V","R-V"
"TVY4R2","TVY4V1",563,"R","V","R-V"
"TVY4R5","TVY4V1",423,"R","V","R-V"
"TVY4R6","TVY4V1",576,"R","V","R-V"
"TVY4R7","TVY4V1",594,"R","V","R-V"
"TVY4R8","TVY4V1",515,"R","V","R-V"
"TVY4R1","TVY4V13",565,"R","V","R-V"
"TVY4R10","TVY4V13",621,"R","V","R-V"
"TVY4R11","TVY4V13",509,"R","V","R-V"
"TVY4R12","TVY4V13",652,"R","V","R-V"
"TVY4R13","TVY4V13",649,"R","V","R-V"
"TVY4R14","TVY4V13",562,"R","V","R-V"
"TVY4R2","TVY4V13",557,"R","V","R-V"
"TVY4R5","TVY4V13",589,"R","V","R-V"
"TVY4R6","TVY4V13",552,"R","V","R-V"
"TVY4R7","TVY4V13",656,"R","V","R-V"
"TVY4R8","TVY4V13",547,"R","V","R-V"
"TVY4V1","TVY4V13",580,"V","V","V-V"
"TVY4R1","TVY4V14",546,"R","V","R-V"
"TVY4R10","TVY4V14",636,"R","V","R-V"
"TVY4R11","TVY4V14",640,"R","V","R-V"
"TVY4R12","TVY4V14",661,"R","V","R-V"
"TVY4R13","TVY4V14",676,"R","V","R-V"
"TVY4R14","TVY4V14",593,"R","V","R-V"
"TVY4R2","TVY4V14",632,"R","V","R-V"
"TVY4R5","TVY4V14",542,"R","V","R-V"
"TVY4R6","TVY4V14",613,"R","V","R-V"
"TVY4R7","TVY4V14",717,"R","V","R-V"
"TVY4R8","TVY4V14",558,"R","V","R-V"
"TVY4V1","TVY4V14",583,"V","V","V-V"
"TVY4V13","TVY4V14",551,"V","V","V-V"
"TVY4R1","TVY4V15",632,"R","V","R-V"
"TVY4R10","TVY4V15",656,"R","V","R-V"
"TVY4R11","TVY4V15",640,"R","V","R-V"
"TVY4R12","TVY4V15",697,"R","V","R-V"
"TVY4R13","TVY4V15",710,"R","V","R-V"
"TVY4R14","TVY4V15",561,"R","V","R-V"
"TVY4R2","TVY4V15",722,"R","V","R-V"
"TVY4R5","TVY4V15",652,"R","V","R-V"
"TVY4R6","TVY4V15",625,"R","V","R-V"
"TVY4R7","TVY4V15",677,"R","V","R-V"
"TVY4R8","TVY4V15",654,"R","V","R-V"
"TVY4V1","TVY4V15",621,"V","V","V-V"
"TVY4V13","TVY4V15",679,"V","V","V-V"
"TVY4V14","TVY4V15",658,"V","V","V-V"
"TVY4R1","TVY4V16",535,"R","V","R-V"
"TVY4R10","TVY4V16",601,"R","V","R-V"
"TVY4R11","TVY4V16",695,"R","V","R-V"
"TVY4R12","TVY4V16",642,"R","V","R-V"
"TVY4R13","TVY4V16",599,"R","V","R-V"
"TVY4R14","TVY4V16",634,"R","V","R-V"
"TVY4R2","TVY4V16",509,"R","V","R-V"
"TVY4R5","TVY4V16",545,"R","V","R-V"
"TVY4R6","TVY4V16",578,"R","V","R-V"
"TVY4R7","TVY4V16",646,"R","V","R-V"
"TVY4R8","TVY4V16",561,"R","V","R-V"
"TVY4V1","TVY4V16",556,"V","V","V-V"
"TVY4V13","TVY4V16",636,"V","V","V-V"
"TVY4V14","TVY4V16",613,"V","V","V-V"
"TVY4V15","TVY4V16",707,"V","V","V-V"
"TVY4R1","TVY4V2",474,"R","V","R-V"
"TVY4R10","TVY4V2",570,"R","V","R-V"
"TVY4R11","TVY4V2",586,"R","V","R-V"
"TVY4R12","TVY4V2",607,"R","V","R-V"
"TVY4R13","TVY4V2",546,"R","V","R-V"
"TVY4R14","TVY4V2",557,"R","V","R-V"
"TVY4R2","TVY4V2",514,"R","V","R-V"
"TVY4R5","TVY4V2",494,"R","V","R-V"
"TVY4R6","TVY4V2",581,"R","V","R-V"
"TVY4R7","TVY4V2",593,"R","V","R-V"
"TVY4R8","TVY4V2",468,"R","V","R-V"
"TVY4V1","TVY4V2",543,"V","V","V-V"
"TVY4V13","TVY4V2",555,"V","V","V-V"
"TVY4V14","TVY4V2",598,"V","V","V-V"
"TVY4V15","TVY4V2",692,"V","V","V-V"
"TVY4V16","TVY4V2",571,"V","V","V-V"
"TVY4R1","TVY4V3",630,"R","V","R-V"
"TVY4R10","TVY4V3",642,"R","V","R-V"
"TVY4R11","TVY4V3",620,"R","V","R-V"
"TVY4R12","TVY4V3",661,"R","V","R-V"
"TVY4R13","TVY4V3",662,"R","V","R-V"
"TVY4R14","TVY4V3",677,"R","V","R-V"
"TVY4R2","TVY4V3",666,"R","V","R-V"
"TVY4R5","TVY4V3",626,"R","V","R-V"
"TVY4R6","TVY4V3",585,"R","V","R-V"
"TVY4R7","TVY4V3",595,"R","V","R-V"
"TVY4R8","TVY4V3",638,"R","V","R-V"
"TVY4V1","TVY4V3",673,"V","V","V-V"
"TVY4V13","TVY4V3",677,"V","V","V-V"
"TVY4V14","TVY4V3",720,"V","V","V-V"
"TVY4V15","TVY4V3",686,"V","V","V-V"
"TVY4V16","TVY4V3",661,"V","V","V-V"
"TVY4V2","TVY4V3",626,"V","V","V-V"
"TVY4R1","TVY4V4",575,"R","V","R-V"
"TVY4R10","TVY4V4",669,"R","V","R-V"
"TVY4R11","TVY4V4",647,"R","V","R-V"
"TVY4R12","TVY4V4",622,"R","V","R-V"
"TVY4R13","TVY4V4",645,"R","V","R-V"
"TVY4R14","TVY4V4",682,"R","V","R-V"
"TVY4R2","TVY4V4",623,"R","V","R-V"
"TVY4R5","TVY4V4",573,"R","V","R-V"
"TVY4R6","TVY4V4",618,"R","V","R-V"
"TVY4R7","TVY4V4",666,"R","V","R-V"
"TVY4R8","TVY4V4",587,"R","V","R-V"
"TVY4V1","TVY4V4",602,"V","V","V-V"
"TVY4V13","TVY4V4",608,"V","V","V-V"
"TVY4V14","TVY4V4",591,"V","V","V-V"
"TVY4V15","TVY4V4",723,"V","V","V-V"
"TVY4V16","TVY4V4",546,"V","V","V-V"
"TVY4V2","TVY4V4",607,"V","V","V-V"
"TVY4V3","TVY4V4",715,"V","V","V-V"
"TVY4R1","TVY4V5",468,"R","V","R-V"
"TVY4R10","TVY4V5",550,"R","V","R-V"
"TVY4R11","TVY4V5",596,"R","V","R-V"
"TVY4R12","TVY4V5",581,"R","V","R-V"
"TVY4R13","TVY4V5",588,"R","V","R-V"
"TVY4R14","TVY4V5",565,"R","V","R-V"
"TVY4R2","TVY4V5",514,"R","V","R-V"
"TVY4R5","TVY4V5",530,"R","V","R-V"
"TVY4R6","TVY4V5",573,"R","V","R-V"
"TVY4R7","TVY4V5",599,"R","V","R-V"
"TVY4R8","TVY4V5",490,"R","V","R-V"
"TVY4V1","TVY4V5",541,"V","V","V-V"
"TVY4V13","TVY4V5",545,"V","V","V-V"
"TVY4V14","TVY4V5",552,"V","V","V-V"
"TVY4V15","TVY4V5",668,"V","V","V-V"
"TVY4V16","TVY4V5",539,"V","V","V-V"
"TVY4V2","TVY4V5",460,"V","V","V-V"
"TVY4V3","TVY4V5",674,"V","V","V-V"
"TVY4V4","TVY4V5",577,"V","V","V-V"
"TVY4R1","TVY4V6",545,"R","V","R-V"
"TVY4R10","TVY4V6",575,"R","V","R-V"
"TVY4R11","TVY4V6",621,"R","V","R-V"
"TVY4R12","TVY4V6",698,"R","V","R-V"
"TVY4R13","TVY4V6",593,"R","V","R-V"
"TVY4R14","TVY4V6",652,"R","V","R-V"
"TVY4R2","TVY4V6",631,"R","V","R-V"
"TVY4R5","TVY4V6",623,"R","V","R-V"
"TVY4R6","TVY4V6",656,"R","V","R-V"
"TVY4R7","TVY4V6",742,"R","V","R-V"
"TVY4R8","TVY4V6",531,"R","V","R-V"
"TVY4V1","TVY4V6",576,"V","V","V-V"
"TVY4V13","TVY4V6",632,"V","V","V-V"
"TVY4V14","TVY4V6",679,"V","V","V-V"
"TVY4V15","TVY4V6",743,"V","V","V-V"
"TVY4V16","TVY4V6",650,"V","V","V-V"
"TVY4V2","TVY4V6",541,"V","V","V-V"
"TVY4V3","TVY4V6",677,"V","V","V-V"
"TVY4V4","TVY4V6",672,"V","V","V-V"
"TVY4V5","TVY4V6",553,"V","V","V-V"
"TVY4R1","TVY4V7",590,"R","V","R-V"
"TVY4R10","TVY4V7",594,"R","V","R-V"
"TVY4R11","TVY4V7",664,"R","V","R-V"
"TVY4R12","TVY4V7",599,"R","V","R-V"
"TVY4R13","TVY4V7",568,"R","V","R-V"
"TVY4R14","TVY4V7",671,"R","V","R-V"
"TVY4R2","TVY4V7",596,"R","V","R-V"
"TVY4R5","TVY4V7",562,"R","V","R-V"
"TVY4R6","TVY4V7",603,"R","V","R-V"
"TVY4R7","TVY4V7",717,"R","V","R-V"
"TVY4R8","TVY4V7",538,"R","V","R-V"
"TVY4V1","TVY4V7",557,"V","V","V-V"
"TVY4V13","TVY4V7",601,"V","V","V-V"
"TVY4V14","TVY4V7",658,"V","V","V-V"
"TVY4V15","TVY4V7",788,"V","V","V-V"
"TVY4V16","TVY4V7",577,"V","V","V-V"
"TVY4V2","TVY4V7",592,"V","V","V-V"
"TVY4V3","TVY4V7",728,"V","V","V-V"
"TVY4V4","TVY4V7",651,"V","V","V-V"
"TVY4V5","TVY4V7",556,"V","V","V-V"
"TVY4V6","TVY4V7",559,"V","V","V-V"
"TVY4R1","TVY4V8",602,"R","V","R-V"
"TVY4R10","TVY4V8",628,"R","V","R-V"
"TVY4R11","TVY4V8",636,"R","V","R-V"
"TVY4R12","TVY4V8",669,"R","V","R-V"
"TVY4R13","TVY4V8",626,"R","V","R-V"
"TVY4R14","TVY4V8",659,"R","V","R-V"
"TVY4R2","TVY4V8",558,"R","V","R-V"
"TVY4R5","TVY4V8",482,"R","V","R-V"
"TVY4R6","TVY4V8",613,"R","V","R-V"
"TVY4R7","TVY4V8",573,"R","V","R-V"
"TVY4R8","TVY4V8",614,"R","V","R-V"
"TVY4V1","TVY4V8",577,"V","V","V-V"
"TVY4V13","TVY4V8",585,"V","V","V-V"
"TVY4V14","TVY4V8",618,"V","V","V-V"
"TVY4V15","TVY4V8",704,"V","V","V-V"
"TVY4V16","TVY4V8",587,"V","V","V-V"
"TVY4V2","TVY4V8",574,"V","V","V-V"
"TVY4V3","TVY4V8",598,"V","V","V-V"
"TVY4V4","TVY4V8",629,"V","V","V-V"
"TVY4V5","TVY4V8",582,"V","V","V-V"
"TVY4V6","TVY4V8",691,"V","V","V-V"
"TVY4V7","TVY4V8",642,"V","V","V-V"
