"Sample1","Sample2","Pairwise_SNP_diff","S1","S2","Compare"
"YST6R4","YST6V14",801,"R","V","R-V"
"YST6R5","YST6V14",883,"R","V","R-V"
"YST6R6","YST6V14",921,"R","V","R-V"
"YST6R7","YST6V14",922,"R","V","R-V"
"YST6R8","YST6V14",847,"R","V","R-V"
"YST6R9","YST6V14",924,"R","V","R-V"
"YST6V1","YST6V14",909,"V","V","V-V"
"YST6V11","YST6V14",894,"V","V","V-V"
"YST6V13","YST6V14",1046,"V","V","V-V"
"YST6R10","YST6V15",999,"R","V","R-V"
"YST6R11","YST6V15",948,"R","V","R-V"
"YST6R12","YST6V15",984,"R","V","R-V"
"YST6R15","YST6V15",985,"R","V","R-V"
"YST6R2","YST6V15",1037,"R","V","R-V"
"YST6R20","YST6V15",921,"R","V","R-V"
"YST6R4","YST6V15",931,"R","V","R-V"
"YST6R5","YST6V15",873,"R","V","R-V"
"YST6R6","YST6V15",1027,"R","V","R-V"
"YST6R7","YST6V15",980,"R","V","R-V"
"YST6R8","YST6V15",953,"R","V","R-V"
"YST6R9","YST6V15",990,"R","V","R-V"
"YST6V1","YST6V15",939,"V","V","V-V"
"YST6V11","YST6V15",948,"V","V","V-V"
"YST6V13","YST6V15",928,"V","V","V-V"
"YST6V14","YST6V15",958,"V","V","V-V"
"YST6R10","YST6V2",1003,"R","V","R-V"
"YST6R11","YST6V2",910,"R","V","R-V"
"YST6R12","YST6V2",1022,"R","V","R-V"
"YST6R15","YST6V2",1053,"R","V","R-V"
"YST6R2","YST6V2",1009,"R","V","R-V"
"YST6R20","YST6V2",837,"R","V","R-V"
"YST6R4","YST6V2",897,"R","V","R-V"
"YST6R5","YST6V2",981,"R","V","R-V"
"YST6R6","YST6V2",1105,"R","V","R-V"
"YST6R7","YST6V2",868,"R","V","R-V"
"YST6R8","YST6V2",957,"R","V","R-V"
"YST6R9","YST6V2",1008,"R","V","R-V"
"YST6V1","YST6V2",945,"V","V","V-V"
"YST6V11","YST6V2",872,"V","V","V-V"
"YST6V13","YST6V2",994,"V","V","V-V"
"YST6V14","YST6V2",932,"V","V","V-V"
"YST6V15","YST6V2",920,"V","V","V-V"
"YST6R10","YST6V24",948,"R","V","R-V"
"YST6R11","YST6V24",857,"R","V","R-V"
"YST6R12","YST6V24",881,"R","V","R-V"
"YST6R15","YST6V24",920,"R","V","R-V"
"YST6R2","YST6V24",814,"R","V","R-V"
"YST6R20","YST6V24",722,"R","V","R-V"
"YST6R4","YST6V24",742,"R","V","R-V"
"YST6R5","YST6V24",726,"R","V","R-V"
"YST6R6","YST6V24",974,"R","V","R-V"
"YST6R7","YST6V24",861,"R","V","R-V"
"YST6R8","YST6V24",854,"R","V","R-V"
"YST6R9","YST6V24",799,"R","V","R-V"
"YST6V1","YST6V24",744,"V","V","V-V"
"YST6V11","YST6V24",699,"V","V","V-V"
"YST6V13","YST6V24",903,"V","V","V-V"
"YST6V14","YST6V24",861,"V","V","V-V"
"YST6V15","YST6V24",913,"V","V","V-V"
"YST6V2","YST6V24",903,"V","V","V-V"
"YST6R10","YST6V3",1049,"R","V","R-V"
"YST6R11","YST6V3",946,"R","V","R-V"
"YST6R12","YST6V3",954,"R","V","R-V"
"YST6R15","YST6V3",919,"R","V","R-V"
"YST6R2","YST6V3",989,"R","V","R-V"
"YST6R20","YST6V3",889,"R","V","R-V"
"YST6R4","YST6V3",901,"R","V","R-V"
"YST6R5","YST6V3",879,"R","V","R-V"
"YST6R6","YST6V3",973,"R","V","R-V"
"YST6R7","YST6V3",932,"R","V","R-V"
"YST6R8","YST6V3",963,"R","V","R-V"
"YST6R9","YST6V3",990,"R","V","R-V"
"YST6V1","YST6V3",861,"V","V","V-V"
"YST6V11","YST6V3",942,"V","V","V-V"
"YST6V13","YST6V3",1022,"V","V","V-V"
"YST6V14","YST6V3",890,"V","V","V-V"
"YST6V15","YST6V3",924,"V","V","V-V"
"YST6V2","YST6V3",790,"V","V","V-V"
"YST6V24","YST6V3",893,"V","V","V-V"
"YST6R10","YST6V4",995,"R","V","R-V"
"YST6R11","YST6V4",836,"R","V","R-V"
"YST6R12","YST6V4",874,"R","V","R-V"
"YST6R15","YST6V4",869,"R","V","R-V"
"YST6R2","YST6V4",787,"R","V","R-V"
"YST6R20","YST6V4",769,"R","V","R-V"
"YST6R4","YST6V4",763,"R","V","R-V"
"YST6R5","YST6V4",739,"R","V","R-V"
"YST6R6","YST6V4",965,"R","V","R-V"
"YST6R7","YST6V4",878,"R","V","R-V"
"YST6R8","YST6V4",875,"R","V","R-V"
"YST6R9","YST6V4",932,"R","V","R-V"
"YST6V1","YST6V4",779,"V","V","V-V"
"YST6V11","YST6V4",720,"V","V","V-V"
"YST6V13","YST6V4",1024,"V","V","V-V"
"YST6V14","YST6V4",826,"V","V","V-V"
"YST6V15","YST6V4",872,"V","V","V-V"
"YST6V2","YST6V4",858,"V","V","V-V"
"YST6V24","YST6V4",837,"V","V","V-V"
"YST6V3","YST6V4",818,"V","V","V-V"
"YST6R10","YST6V5",950,"R","V","R-V"
"YST6R11","YST6V5",911,"R","V","R-V"
"YST6R12","YST6V5",1001,"R","V","R-V"
"YST6R15","YST6V5",966,"R","V","R-V"
"YST6R2","YST6V5",990,"R","V","R-V"
"YST6R20","YST6V5",1000,"R","V","R-V"
"YST6R4","YST6V5",1022,"R","V","R-V"
"YST6R5","YST6V5",896,"R","V","R-V"
"YST6R6","YST6V5",956,"R","V","R-V"
"YST6R7","YST6V5",997,"R","V","R-V"
"YST6R8","YST6V5",1060,"R","V","R-V"
"YST6R9","YST6V5",913,"R","V","R-V"
"YST6V1","YST6V5",1006,"V","V","V-V"
"YST6V11","YST6V5",1003,"V","V","V-V"
"YST6V13","YST6V5",1033,"V","V","V-V"
"YST6V14","YST6V5",943,"V","V","V-V"
"YST6V15","YST6V5",1031,"V","V","V-V"
"YST6V2","YST6V5",1087,"V","V","V-V"
"YST6V24","YST6V5",968,"V","V","V-V"
"YST6V3","YST6V5",969,"V","V","V-V"
"YST6V4","YST6V5",975,"V","V","V-V"
"YST6R10","YST6V6",977,"R","V","R-V"
"YST6R11","YST6V6",934,"R","V","R-V"
"YST6R12","YST6V6",936,"R","V","R-V"
"YST6R15","YST6V6",929,"R","V","R-V"
"YST6R2","YST6V6",949,"R","V","R-V"
"YST6R20","YST6V6",779,"R","V","R-V"
"YST6R4","YST6V6",823,"R","V","R-V"
"YST6R5","YST6V6",889,"R","V","R-V"
"YST6R6","YST6V6",893,"R","V","R-V"
"YST6R7","YST6V6",908,"R","V","R-V"
"YST6R8","YST6V6",941,"R","V","R-V"
"YST6R9","YST6V6",924,"R","V","R-V"
"YST6V1","YST6V6",815,"V","V","V-V"
"YST6V11","YST6V6",812,"V","V","V-V"
"YST6V13","YST6V6",1016,"V","V","V-V"
"YST6V14","YST6V6",842,"V","V","V-V"
"YST6V15","YST6V6",916,"V","V","V-V"
"YST6V2","YST6V6",938,"V","V","V-V"
"YST6V24","YST6V6",785,"V","V","V-V"
"YST6V3","YST6V6",874,"V","V","V-V"
"YST6V4","YST6V6",792,"V","V","V-V"
"YST6V5","YST6V6",943,"V","V","V-V"
"YST6R10","YST6V7",954,"R","V","R-V"
"YST6R11","YST6V7",841,"R","V","R-V"
"YST6R12","YST6V7",955,"R","V","R-V"
"YST6R15","YST6V7",964,"R","V","R-V"
"YST6R2","YST6V7",928,"R","V","R-V"
"YST6R20","YST6V7",824,"R","V","R-V"
"YST6R4","YST6V7",908,"R","V","R-V"
"YST6R5","YST6V7",848,"R","V","R-V"
"YST6R6","YST6V7",956,"R","V","R-V"
"YST6R7","YST6V7",915,"R","V","R-V"
"YST6R8","YST6V7",792,"R","V","R-V"
"YST6R9","YST6V7",937,"R","V","R-V"
"YST6V1","YST6V7",864,"V","V","V-V"
"YST6V11","YST6V7",833,"V","V","V-V"
"YST6V13","YST6V7",1059,"V","V","V-V"
"YST6V14","YST6V7",877,"V","V","V-V"
"YST6V15","YST6V7",931,"V","V","V-V"
"YST6V2","YST6V7",909,"V","V","V-V"
"YST6V24","YST6V7",866,"V","V","V-V"
"YST6V3","YST6V7",911,"V","V","V-V"
"YST6V4","YST6V7",721,"V","V","V-V"
"YST6V5","YST6V7",1058,"V","V","V-V"
"YST6V6","YST6V7",897,"V","V","V-V"
